metarea,immig_stem_change,native_coll_wkwage_change,native_non_coll_wkwage_change
"Jacksonville, NC",0.3,13.3,11.8
"Jamestown-Dunkirk, NY",-0.1,-9.2,2.9
"Janesville-Beloit, WI",0.1,2.0,3.9
"Johnson City-Kingsport--Bristol, TN/VA",0.0,15.0,-1.2
"Johnstown, PA",0.1,-4.3,1.0
"Joplin, MO",0.3,10.2,1.4
"Kalamazoo-Portage, MI",0.2,2.1,-8.2
"Kankakee, IL",-0.3,-7.9,14.4
"Kansas City, MO-KS",0.8,12.3,0.7
"Kenosha, WI",0.3,14.4,1.0
"Kileen-Temple, TX",0.3,6.7,9.0
"Knoxville, TN",0.1,0.9,5.8
"Kokomo, IN",-0.4,-5.7,12.0
"LaCrosse, WI",0.3,-7.6,-14.2
"Lafayette, LA",0.5,5.2,21.5
"Lafayette-W. Lafayette, IN",0.3,4.5,2.3
"Lake Charles, LA",-1.0,11.1,26.0
"Lakeland-Winterhaven, FL",0.5,-9.0,4.0
"Lancaster, PA",0.1,12.2,-1.9
"Lansing-E. Lansing, MI",0.5,2.8,-8.9
"Laredo, TX",-0.7,-7.0,-11.0
"Las Cruces, NM",0.2,-1.3,1.6
"Las Vegas, NV",1.0,0.4,6.9
"Lexington-Fayette, KY",0.7,16.8,-0.4
"Lima, OH",0.1,1.6,-7.5
"Lincoln, NE",0.3,17.2,-2.4
"Little Rock--North Little Rock, AR",0.4,5.8,2.2
"Longview-Marshall, TX",0.0,23.9,9.6
"Los Angeles-Long Beach, CA",0.7,7.3,-10.5
"Louisville, KY/IN",0.6,3.7,-0.4
"Lubbock, TX",0.3,13.2,3.8
"Lynchburg, VA",-0.1,2.9,13.5
"Macon-Warner Robins, GA",0.6,0.2,-1.6
"Madison, WI",1.7,20.0,7.2
"Manchester, NH",0.4,-6.2,4.4
"Mansfield, OH",0.0,6.0,-7.0
"McAllen-Edinburg-Pharr-Mission, TX",0.7,-6.7,7.0
"Medford, OR",0.1,-3.0,-3.6
"Melbourne-Titusville-Cocoa-Palm Bay, FL",0.2,7.7,2.1
"Memphis, TN/AR/MS",0.6,14.1,-0.7
"Merced, CA",0.5,4.4,-12.8
"Miami-Hialeah, FL",0.7,-0.7,-11.1
"Milwaukee, WI",0.5,13.0,0.2
"Minneapolis-St. Paul, MN",1.3,19.5,5.1
"Mobile, AL",0.1,7.0,4.0
"Modesto, CA",0.3,0.6,-4.3
"Monmouth-Ocean, NJ",0.5,12.2,6.4
"Monroe, LA",0.0,5.5,6.4
"Montgomery, AL",0.5,-3.7,-4.5
"Muncie, IN",0.2,-4.8,-9.4
"Myrtle Beach, SC",0.0,19.1,11.5
"Naples, FL",0.5,29.7,26.8
"Nashua, NH",1.5,12.2,3.6
"Nashville, TN",0.6,12.3,5.5
"New Bedford, MA",0.8,27.6,4.4
"New Haven-Meriden, CT",1.5,24.9,-2.2
"New Orleans, LA",0.0,7.0,12.0
New York-Northeastern NJ,1.2,19.6,-3.0
"Newburgh-Middletown, NY",-1.9,-18.5,0.8
"Norfolk-VA Beach--Newport News, VA",0.5,11.0,3.9
"Ocala, FL",0.3,9.3,5.3
"Odessa, TX",0.7,35.0,13.0
"Oklahoma City, OK",0.4,5.9,-1.3
"Olympia, WA",0.8,13.6,10.1
"Omaha, NE/IA",0.5,13.0,1.4
"Orlando, FL",1.3,2.0,-3.6
"Panama City, FL",-0.9,-16.6,-2.0
"Pensacola, FL",0.1,1.7,4.5
"Peoria, IL",0.5,11.9,-0.3
"Philadelphia, PA/NJ",0.8,16.2,0.2
"Phoenix, AZ",1.4,11.8,7.1
"Pittsburgh, PA",0.5,2.1,-2.6
"Portland, ME",-0.6,-1.5,10.3
"Portland, OR-WA",1.4,11.5,5.2
"Providence-Fall River-Pawtucket, MA/RI",1.4,11.7,9.5
"Provo-Orem, UT",0.8,26.3,11.6
"Pueblo, CO",0.0,21.4,12.3
"Punta Gorda, FL",0.5,1.0,6.9
"Racine, WI",0.1,-9.4,-5.3
